bom_title,budget,cast,filmmakers,genres,gross_domestic,gross_international,gross_worldwide,input_title,input_year,opening_weekend,release_date,runtime_minutes,source_url
Hidden Blade,,"[{'actor': 'Er Cheng', 'role': 'Director'}, {'actor': 'Er Cheng', 'role': 'Writer'}, {'actor': 'Na Wu', 'role': 'Producer'}, {'actor': 'Tao Cai', 'role': 'Cinematographer'}, {'actor': 'Tony Leung Chiu-wai', 'role': 'Mr. He See more'}, {'actor': 'Yibo Wang', 'role': 'Mr. Ye See more'}, {'actor': 'Lei Huang', 'role': 'Mr. Zhang See more'}]","[{'name': 'Er Cheng', 'role': 'Director'}, {'name': 'Er Cheng', 'role': 'Writer'}, {'name': 'Na Wu', 'role': 'Producer'}, {'name': 'Tao Cai', 'role': 'Cinematographer'}, {'name': 'Tony Leung Chiu-wai', 'role': 'Mr. He See more'}, {'name': 'Yibo Wang', 'role': 'Mr. Ye See more'}, {'name': 'Lei Huang', 'role': 'Mr. Zhang See more'}]",Drama History Thriller,803189,135981404,136784593,Hidden Blade,2023,296337,"January 22, 2023 (China)",128,https://www.boxofficemojo.com/title/tt16565742/
UFC 284: Makhachev vs. Volkanovski,,"[{'actor': 'Anthony Giordano', 'role': 'Director'}, {'actor': 'Michael Bisping', 'role': 'Self - Color Commentator See more'}, {'actor': 'Alex Volkanovski', 'role': 'Self See more'}, {'actor': 'Bruce Buffer', 'role': 'Self - Octagon Announcer See more'}, {'actor': 'Jon Anik', 'role': 'Self - Play-By-Play Announcer See more'}]","[{'name': 'Anthony Giordano', 'role': 'Director'}, {'name': 'Michael Bisping', 'role': 'Self - Color Commentator See more'}, {'name': 'Alex Volkanovski', 'role': 'Self See more'}, {'name': 'Bruce Buffer', 'role': 'Self - Octagon Announcer See more'}, {'name': 'Jon Anik', 'role': 'Self - Play-By-Play Announcer See more'}]",Sport,,,,UFC 284: Makhachev vs. Volkanovski,2023,,"February 11, 2023 (Domestic)",180,https://www.boxofficemojo.com/title/tt25405730/
2023 Oscar Nominated Short Films: Live Action,,"[{'actor': 'Stephanie Charmail', 'role': 'Producer'}, {'actor': 'Carter Pilcher', 'role': 'Producer'}, {'actor': 'Marina Uzcátegui', 'role': 'Editor'}]","[{'name': 'Stephanie Charmail', 'role': 'Producer'}, {'name': 'Carter Pilcher', 'role': 'Producer'}, {'name': 'Marina Uzcátegui', 'role': 'Editor'}]",Drama,3025631,,3025631,2023 Oscar Nominated Short Films: Live Action,2023,734124,"February 17, 2023 (Domestic)",110,https://www.boxofficemojo.com/title/tt26687422/
"Crouching Tiger, Hidden Dragon",17000000,"[{'actor': 'Ang Lee', 'role': 'Director'}, {'actor': 'Hui-Ling Wang', 'role': 'Writer'}, {'actor': 'James Schamus', 'role': 'Writer'}, {'actor': 'Kuo Jung Tsai', 'role': 'Writer'}, {'actor': 'Du Lu Wang', 'role': 'Writer'}, {'actor': 'Li-Kong Hsu', 'role': 'Producer'}, {'actor': 'Bill Kong', 'role': 'Producer'}, {'actor': 'Ang Lee', 'role': 'Producer'}, {'actor': 'Dun Tan', 'role': 'Composer'}, {'actor': 'Peter Pau', 'role': 'Cinematographer'}, {'actor': 'Tim Squyres', 'role': 'Editor'}, {'actor': 'Tim Yip', 'role': 'Production Designer'}, {'actor': 'Chow Yun-Fat', 'role': 'Master Li Mu Bai See more'}, {'actor': 'Michelle Yeoh', 'role': 'Yu Shu Lien See more'}, {'actor': 'Ziyi Zhang', 'role': 'Jen See more'}, {'actor': 'Chang Chen', 'role': 'Lo See more'}]","[{'name': 'Ang Lee', 'role': 'Director'}, {'name': 'Hui-Ling Wang', 'role': 'Writer'}, {'name': 'James Schamus', 'role': 'Writer'}, {'name': 'Kuo Jung Tsai', 'role': 'Writer'}, {'name': 'Du Lu Wang', 'role': 'Writer'}, {'name': 'Li-Kong Hsu', 'role': 'Producer'}, {'name': 'Bill Kong', 'role': 'Producer'}, {'name': 'Ang Lee', 'role': 'Producer'}, {'name': 'Dun Tan', 'role': 'Composer'}, {'name': 'Peter Pau', 'role': 'Cinematographer'}, {'name': 'Tim Squyres', 'role': 'Editor'}, {'name': 'Tim Yip', 'role': 'Production Designer'}, {'name': 'Chow Yun-Fat', 'role': 'Master Li Mu Bai See more'}, {'name': 'Michelle Yeoh', 'role': 'Yu Shu Lien See more'}, {'name': 'Ziyi Zhang', 'role': 'Jen See more'}, {'name': 'Chang Chen', 'role': 'Lo See more'}]",Action Adventure Drama Fantasy Romance,128530421,85447751,213979405,"Crouching Tiger, Hidden Dragon",2023,663205,"December 8, 2000 (Domestic)",120,https://www.boxofficemojo.com/title/tt0190332/
Seriously Red,,"[{'actor': 'Gracie Otto', 'role': 'Director'}, {'actor': 'Krew Boylan', 'role': 'Writer'}, {'actor': 'Sonia Borella', 'role': 'Producer'}, {'actor': 'Jessica Carrera', 'role': 'Producer'}, {'actor': 'Robyn Kershaw', 'role': 'Producer'}, {'actor': 'Timothy White', 'role': 'Producer'}, {'actor': 'Cezary Skubiszewski', 'role': 'Composer'}, {'actor': 'Toby Oliver', 'role': 'Cinematographer'}, {'actor': 'Kate Hickey', 'role': 'Editor'}, {'actor': 'Deborah Peart', 'role': 'Editor'}, {'actor': 'Penny Southgate', 'role': 'Production Designer'}, {'actor': 'Krew Boylan', 'role': 'Red See more'}, {'actor': 'Daniel Webber', 'role': 'Kenny See more'}, {'actor': 'Rose Byrne', 'role': 'EP See more'}, {'actor': 'Celeste Barber', 'role': 'Teeth See more'}]","[{'name': 'Gracie Otto', 'role': 'Director'}, {'name': 'Krew Boylan', 'role': 'Writer'}, {'name': 'Sonia Borella', 'role': 'Producer'}, {'name': 'Jessica Carrera', 'role': 'Producer'}, {'name': 'Robyn Kershaw', 'role': 'Producer'}, {'name': 'Timothy White', 'role': 'Producer'}, {'name': 'Cezary Skubiszewski', 'role': 'Composer'}, {'name': 'Toby Oliver', 'role': 'Cinematographer'}, {'name': 'Kate Hickey', 'role': 'Editor'}, {'name': 'Deborah Peart', 'role': 'Editor'}, {'name': 'Penny Southgate', 'role': 'Production Designer'}, {'name': 'Krew Boylan', 'role': 'Red See more'}, {'name': 'Daniel Webber', 'role': 'Kenny See more'}, {'name': 'Rose Byrne', 'role': 'EP See more'}, {'name': 'Celeste Barber', 'role': 'Teeth See more'}]",Comedy Drama Music Musical Romance,,567180,567180,Seriously Red,2023,,"November 24, 2022 (New Zealand)",104,https://www.boxofficemojo.com/title/tt4586828/
The Blue Star,,"[{'actor': 'Javier Macipe', 'role': 'Director'}, {'actor': 'Javier Macipe', 'role': 'Writer'}, {'actor': 'Simón de Santiago', 'role': 'Producer'}, {'actor': 'Amelia Hernández Causapé', 'role': 'Producer'}, {'actor': 'Hernán Musaluppi', 'role': 'Producer'}, {'actor': 'Peteco Carabajal', 'role': 'Composer'}, {'actor': 'Alicia Morote', 'role': 'Composer'}, {'actor': 'Álvaro Medina', 'role': 'Cinematographer'}, {'actor': 'Nacho Blasco', 'role': 'Editor'}, {'actor': 'Javier Macipe', 'role': 'Editor'}, {'actor': 'León Froilán Carabajal', 'role': 'Carlos Carabajal niño See more'}, {'actor': 'Pepe Lorente', 'role': 'Mauricio Aznar Müller See more'}, {'actor': 'Pablo Lorenzo', 'role': 'Mauricio joven See more'}, {'actor': 'Josh Climent', 'role': 'Pedro Joven See more'}]","[{'name': 'Javier Macipe', 'role': 'Director'}, {'name': 'Javier Macipe', 'role': 'Writer'}, {'name': 'Simón de Santiago', 'role': 'Producer'}, {'name': 'Amelia Hernández Causapé', 'role': 'Producer'}, {'name': 'Hernán Musaluppi', 'role': 'Producer'}, {'name': 'Peteco Carabajal', 'role': 'Composer'}, {'name': 'Alicia Morote', 'role': 'Composer'}, {'name': 'Álvaro Medina', 'role': 'Cinematographer'}, {'name': 'Nacho Blasco', 'role': 'Editor'}, {'name': 'Javier Macipe', 'role': 'Editor'}, {'name': 'León Froilán Carabajal', 'role': 'Carlos Carabajal niño See more'}, {'name': 'Pepe Lorente', 'role': 'Mauricio Aznar Müller See more'}, {'name': 'Pablo Lorenzo', 'role': 'Mauricio joven See more'}, {'name': 'Josh Climent', 'role': 'Pedro Joven See more'}]",Drama Music,,619216,619216,The Blue Caftan,2023,,"February 23, 2024 (Spain)",129,https://www.boxofficemojo.com/title/tt11941694/
Hannah Ha Ha,,"[{'actor': 'Joshua Pikovsky', 'role': 'Director'}, {'actor': 'Jordan Tetewsky', 'role': 'Director'}, {'actor': 'Joshua Pikovsky', 'role': 'Writer'}, {'actor': 'Jordan Tetewsky', 'role': 'Writer'}, {'actor': 'Roger Mancusi', 'role': 'Producer'}, {'actor': 'Arden Yonkers', 'role': 'Composer'}, {'actor': 'Jordan Tetewsky', 'role': 'Cinematographer'}, {'actor': 'Jordan Tetewsky', 'role': 'Editor'}, {'actor': 'Charlie Chaspooley Robinson', 'role': 'Production Designer'}, {'actor': 'Jennifer Annis', 'role': 'Background Actress See more'}, {'actor': 'Betsey Brown', 'role': 'Caitie See more'}, {'actor': 'Peter Cole', 'role': 'Uncle Jay See more'}, {'actor': 'Beau Dealy', 'role': 'Background Actor See more'}]","[{'name': 'Joshua Pikovsky', 'role': 'Director'}, {'name': 'Jordan Tetewsky', 'role': 'Director'}, {'name': 'Joshua Pikovsky', 'role': 'Writer'}, {'name': 'Jordan Tetewsky', 'role': 'Writer'}, {'name': 'Roger Mancusi', 'role': 'Producer'}, {'name': 'Arden Yonkers', 'role': 'Composer'}, {'name': 'Jordan Tetewsky', 'role': 'Cinematographer'}, {'name': 'Jordan Tetewsky', 'role': 'Editor'}, {'name': 'Charlie Chaspooley Robinson', 'role': 'Production Designer'}, {'name': 'Jennifer Annis', 'role': 'Background Actress See more'}, {'name': 'Betsey Brown', 'role': 'Caitie See more'}, {'name': 'Peter Cole', 'role': 'Uncle Jay See more'}, {'name': 'Beau Dealy', 'role': 'Background Actor See more'}]",Drama,,,,Hannah Ha Ha,2023,,"February 10, 2023 (Domestic)",75,https://www.boxofficemojo.com/title/tt16375578/
She Came from the Woods,,"[{'actor': 'Erik Bloomquist', 'role': 'Director'}, {'actor': 'Erik Bloomquist', 'role': 'Writer'}, {'actor': 'Carson Bloomquist', 'role': 'Writer'}, {'actor': 'Carson Bloomquist', 'role': 'Producer'}, {'actor': 'Erik Bloomquist', 'role': 'Producer'}, {'actor': 'Cara Buono', 'role': 'Producer'}, {'actor': 'William Sadler', 'role': 'Producer'}, {'actor': 'Adam Weppler', 'role': 'Producer'}, {'actor': 'Tim Williams', 'role': 'Composer'}, {'actor': 'Mike Magilnick', 'role': 'Cinematographer'}, {'actor': 'Carson Bloomquist', 'role': 'Editor'}, {'actor': 'Erik Bloomquist', 'role': 'Editor'}, {'actor': 'Shane Meador', 'role': 'Production Designer'}, {'actor': 'Cara Buono', 'role': 'Heather McCalister See more'}, {'actor': 'Clare Foley', 'role': 'Lauren Davis See more'}, {'actor': 'Spencer List', 'role': 'Peter McCalister See more'}, {'actor': 'William Sadler', 'role': 'Gilbert McCalister See more'}]","[{'name': 'Erik Bloomquist', 'role': 'Director'}, {'name': 'Erik Bloomquist', 'role': 'Writer'}, {'name': 'Carson Bloomquist', 'role': 'Writer'}, {'name': 'Carson Bloomquist', 'role': 'Producer'}, {'name': 'Erik Bloomquist', 'role': 'Producer'}, {'name': 'Cara Buono', 'role': 'Producer'}, {'name': 'William Sadler', 'role': 'Producer'}, {'name': 'Adam Weppler', 'role': 'Producer'}, {'name': 'Tim Williams', 'role': 'Composer'}, {'name': 'Mike Magilnick', 'role': 'Cinematographer'}, {'name': 'Carson Bloomquist', 'role': 'Editor'}, {'name': 'Erik Bloomquist', 'role': 'Editor'}, {'name': 'Shane Meador', 'role': 'Production Designer'}, {'name': 'Cara Buono', 'role': 'Heather McCalister See more'}, {'name': 'Clare Foley', 'role': 'Lauren Davis See more'}, {'name': 'Spencer List', 'role': 'Peter McCalister See more'}, {'name': 'William Sadler', 'role': 'Gilbert McCalister See more'}]",Adventure Comedy Horror,,,,She Came from the Woods,2023,,"February 10, 2023 (Domestic)",101,https://www.boxofficemojo.com/title/tt14905554/
iMordecai,,"[{'actor': 'Marvin Samel', 'role': 'Director'}, {'actor': 'Marvin Samel', 'role': 'Writer'}, {'actor': 'Rudy Gaines', 'role': 'Writer'}, {'actor': 'Dahlia Heyman', 'role': 'Writer'}, {'actor': 'Dahlia Heyman', 'role': 'Producer'}, {'actor': 'Marvin Samel', 'role': 'Producer'}, {'actor': 'Matthew Kajcienski', 'role': 'Composer'}, {'actor': 'Will Turner', 'role': 'Cinematographer'}, {'actor': 'Rick Grayson', 'role': 'Editor'}, {'actor': 'Brandon Agan', 'role': 'Production Designer'}, {'actor': 'Judd Hirsch', 'role': 'Mordecai See more'}, {'actor': 'Carol Kane', 'role': 'Fela See more'}, {'actor': 'Sean Astin', 'role': 'Marvin See more'}, {'actor': 'Azia Dinea Hale', 'role': 'Nina See more'}]","[{'name': 'Marvin Samel', 'role': 'Director'}, {'name': 'Marvin Samel', 'role': 'Writer'}, {'name': 'Rudy Gaines', 'role': 'Writer'}, {'name': 'Dahlia Heyman', 'role': 'Writer'}, {'name': 'Dahlia Heyman', 'role': 'Producer'}, {'name': 'Marvin Samel', 'role': 'Producer'}, {'name': 'Matthew Kajcienski', 'role': 'Composer'}, {'name': 'Will Turner', 'role': 'Cinematographer'}, {'name': 'Rick Grayson', 'role': 'Editor'}, {'name': 'Brandon Agan', 'role': 'Production Designer'}, {'name': 'Judd Hirsch', 'role': 'Mordecai See more'}, {'name': 'Carol Kane', 'role': 'Fela See more'}, {'name': 'Sean Astin', 'role': 'Marvin See more'}, {'name': 'Azia Dinea Hale', 'role': 'Nina See more'}]",Comedy Drama Family,140272,,140272,iMordecai,2023,10645,"February 10, 2023 (Domestic)",102,https://www.boxofficemojo.com/title/tt13528122/
Consecration,,"[{'actor': 'Christopher Smith', 'role': 'Director'}, {'actor': 'Christopher Smith', 'role': 'Writer'}, {'actor': 'Laurie Cook', 'role': 'Writer'}, {'actor': 'Laurie Cook', 'role': 'Producer'}, {'actor': 'Stuart Ford', 'role': 'Producer'}, {'actor': 'Casey Herbert', 'role': 'Producer'}, {'actor': 'Xavier Marchand', 'role': 'Producer'}, {'actor': 'Jason Newmark', 'role': 'Producer'}, {'actor': 'Nathan Halpern', 'role': 'Composer'}, {'actor': 'Rob Hart', 'role': 'Cinematographer'}, {'actor': 'Shaun Mone', 'role': 'Cinematographer'}, {'actor': 'Brian Berdan', 'role': 'Editor'}, {'actor': 'Arthur Davis', 'role': 'Editor'}, {'actor': 'Elizabeth El-Kadhi', 'role': 'Production Designer'}, {'actor': 'Janet Suzman', 'role': 'Mother Superior See more'}, {'actor': 'Jena Malone', 'role': 'Grace See more'}, {'actor': 'Valerie Sarruf', 'role': 'Female Patient See more'}, {'actor': 'Godwin To', 'role': ""Patient's Husband See more""}]","[{'name': 'Christopher Smith', 'role': 'Director'}, {'name': 'Christopher Smith', 'role': 'Writer'}, {'name': 'Laurie Cook', 'role': 'Writer'}, {'name': 'Laurie Cook', 'role': 'Producer'}, {'name': 'Stuart Ford', 'role': 'Producer'}, {'name': 'Casey Herbert', 'role': 'Producer'}, {'name': 'Xavier Marchand', 'role': 'Producer'}, {'name': 'Jason Newmark', 'role': 'Producer'}, {'name': 'Nathan Halpern', 'role': 'Composer'}, {'name': 'Rob Hart', 'role': 'Cinematographer'}, {'name': 'Shaun Mone', 'role': 'Cinematographer'}, {'name': 'Brian Berdan', 'role': 'Editor'}, {'name': 'Arthur Davis', 'role': 'Editor'}, {'name': 'Elizabeth El-Kadhi', 'role': 'Production Designer'}, {'name': 'Janet Suzman', 'role': 'Mother Superior See more'}, {'name': 'Jena Malone', 'role': 'Grace See more'}, {'name': 'Valerie Sarruf', 'role': 'Female Patient See more'}, {'name': 'Godwin To', 'role': ""Patient's Husband See more""}]",Horror Thriller,538551,1871412,2409963,Consecration,2023,329951,"February 9, 2023 (Slovenia)",91,https://www.boxofficemojo.com/title/tt14993352/
The Outwaters,,"[{'actor': 'Robbie Banfitch', 'role': 'Director'}, {'actor': 'Robbie Banfitch', 'role': 'Writer'}, {'actor': 'Robbie Banfitch', 'role': 'Producer'}, {'actor': 'Salem Belladonna', 'role': 'Composer'}, {'actor': 'Robbie Banfitch', 'role': 'Cinematographer'}, {'actor': 'Robbie Banfitch', 'role': 'Editor'}, {'actor': 'Robbie Banfitch', 'role': 'Robbie Zagorac See more'}, {'actor': 'Angela Basolis', 'role': 'Ange Bocuzzi See more'}, {'actor': 'Scott Schamell', 'role': 'Scott Zagorac See more'}, {'actor': 'Michelle May', 'role': 'Michelle August See more'}]","[{'name': 'Robbie Banfitch', 'role': 'Director'}, {'name': 'Robbie Banfitch', 'role': 'Writer'}, {'name': 'Robbie Banfitch', 'role': 'Producer'}, {'name': 'Salem Belladonna', 'role': 'Composer'}, {'name': 'Robbie Banfitch', 'role': 'Cinematographer'}, {'name': 'Robbie Banfitch', 'role': 'Editor'}, {'name': 'Robbie Banfitch', 'role': 'Robbie Zagorac See more'}, {'name': 'Angela Basolis', 'role': 'Ange Bocuzzi See more'}, {'name': 'Scott Schamell', 'role': 'Scott Zagorac See more'}, {'name': 'Michelle May', 'role': 'Michelle August See more'}]",Horror Sci-Fi Thriller,120497,83999,204496,The Outwaters,2023,,"February 10, 2023 (Domestic)",110,https://www.boxofficemojo.com/title/tt13259610/
Magic Mike's Last Dance,,"[{'actor': 'Steven Soderbergh', 'role': 'Director'}, {'actor': 'Reid Carolin', 'role': 'Writer'}, {'actor': 'Reid Carolin', 'role': 'Producer'}, {'actor': 'Gregory Jacobs', 'role': 'Producer'}, {'actor': 'Peter Kiernan', 'role': 'Producer'}, {'actor': 'Channing Tatum', 'role': 'Producer'}, {'actor': 'Nick Wechsler', 'role': 'Producer'}, {'actor': 'Steven Soderbergh', 'role': 'Cinematographer'}, {'actor': 'Steven Soderbergh', 'role': 'Editor'}, {'actor': 'Pat Campbell', 'role': 'Production Designer'}, {'actor': 'Channing Tatum', 'role': 'Mike Lane See more'}, {'actor': 'Salma Hayek', 'role': 'Maxandra Mendoza See more'}, {'actor': 'Ayub Khan-Din', 'role': 'Victor See more'}, {'actor': 'Jemelia George', 'role': 'Zadie Rattigan See more'}]","[{'name': 'Steven Soderbergh', 'role': 'Director'}, {'name': 'Reid Carolin', 'role': 'Writer'}, {'name': 'Reid Carolin', 'role': 'Producer'}, {'name': 'Gregory Jacobs', 'role': 'Producer'}, {'name': 'Peter Kiernan', 'role': 'Producer'}, {'name': 'Channing Tatum', 'role': 'Producer'}, {'name': 'Nick Wechsler', 'role': 'Producer'}, {'name': 'Steven Soderbergh', 'role': 'Cinematographer'}, {'name': 'Steven Soderbergh', 'role': 'Editor'}, {'name': 'Pat Campbell', 'role': 'Production Designer'}, {'name': 'Channing Tatum', 'role': 'Mike Lane See more'}, {'name': 'Salma Hayek', 'role': 'Maxandra Mendoza See more'}, {'name': 'Ayub Khan-Din', 'role': 'Victor See more'}, {'name': 'Jemelia George', 'role': 'Zadie Rattigan See more'}]",Comedy Drama,26005156,31100000,57105156,Magic Mike's Last Dance,2023,8305317,"February 9, 2023 (APAC, EMEA)",112,https://www.boxofficemojo.com/title/tt16280138/
Titanic: The Musical,,"[{'actor': 'Austin Shaw', 'role': 'Director'}, {'actor': 'Thom Southerland', 'role': 'Director'}, {'actor': 'Peter Stone', 'role': 'Writer'}, {'actor': 'Austin Shaw', 'role': 'Producer'}, {'actor': 'Danielle Tarento', 'role': 'Producer'}, {'actor': 'Maury Yeston', 'role': 'Composer'}, {'actor': 'Egli Keli', 'role': 'Editor'}, {'actor': 'Martin Allanson', 'role': 'Ismay See more'}, {'actor': 'Valda Aviks', 'role': 'Ida Straus See more'}, {'actor': 'Graham Bickley', 'role': 'Captain Smith See more'}, {'actor': 'Sam Brown', 'role': 'Fleet See more'}]","[{'name': 'Austin Shaw', 'role': 'Director'}, {'name': 'Thom Southerland', 'role': 'Director'}, {'name': 'Peter Stone', 'role': 'Writer'}, {'name': 'Austin Shaw', 'role': 'Producer'}, {'name': 'Danielle Tarento', 'role': 'Producer'}, {'name': 'Maury Yeston', 'role': 'Composer'}, {'name': 'Egli Keli', 'role': 'Editor'}, {'name': 'Martin Allanson', 'role': 'Ismay See more'}, {'name': 'Valda Aviks', 'role': 'Ida Straus See more'}, {'name': 'Graham Bickley', 'role': 'Captain Smith See more'}, {'name': 'Sam Brown', 'role': 'Fleet See more'}]",History Musical,,290978,290978,Titanic,2023,,"November 4, 2023 (Domestic)",145,https://www.boxofficemojo.com/title/tt28656527/
Irreversible,,"[{'actor': 'Gaspar Noé', 'role': 'Director'}, {'actor': 'Gaspar Noé', 'role': 'Writer'}, {'actor': 'Gaspar Noé', 'role': 'Producer'}, {'actor': 'Christophe Rossignon', 'role': 'Producer'}, {'actor': 'Thomas Bangalter', 'role': 'Composer'}, {'actor': 'Benoît Debie', 'role': 'Cinematographer'}, {'actor': 'Gaspar Noé', 'role': 'Cinematographer'}, {'actor': 'Gaspar Noé', 'role': 'Editor'}, {'actor': 'Alain Juteau', 'role': 'Production Designer'}, {'actor': 'Monica Bellucci', 'role': 'Alex See more'}, {'actor': 'Vincent Cassel', 'role': 'Marcus See more'}, {'actor': 'Albert Dupontel', 'role': 'Pierre See more'}, {'actor': 'Philippe Nahon', 'role': ""L'homme See more""}]","[{'name': 'Gaspar Noé', 'role': 'Director'}, {'name': 'Gaspar Noé', 'role': 'Writer'}, {'name': 'Gaspar Noé', 'role': 'Producer'}, {'name': 'Christophe Rossignon', 'role': 'Producer'}, {'name': 'Thomas Bangalter', 'role': 'Composer'}, {'name': 'Benoît Debie', 'role': 'Cinematographer'}, {'name': 'Gaspar Noé', 'role': 'Cinematographer'}, {'name': 'Gaspar Noé', 'role': 'Editor'}, {'name': 'Alain Juteau', 'role': 'Production Designer'}, {'name': 'Monica Bellucci', 'role': 'Alex See more'}, {'name': 'Vincent Cassel', 'role': 'Marcus See more'}, {'name': 'Albert Dupontel', 'role': 'Pierre See more'}, {'name': 'Philippe Nahon', 'role': ""L'homme See more""}]",Crime Drama Mystery Thriller,803491,5687242,6490733,Irreversible,2023,60086,"May 24, 2002 (EMEA)",97,https://www.boxofficemojo.com/title/tt0290673/
Lourdes,,"[{'actor': 'Jessica Hausner', 'role': 'Director'}, {'actor': 'Jessica Hausner', 'role': 'Writer'}, {'actor': 'Philippe Bober', 'role': 'Producer'}, {'actor': 'Martin Gschlacht', 'role': 'Producer'}, {'actor': 'Susanne Marian', 'role': 'Producer'}, {'actor': 'Martin Gschlacht', 'role': 'Cinematographer'}, {'actor': 'Karina Ressler', 'role': 'Editor'}, {'actor': 'Katharina Wöppermann', 'role': 'Production Designer'}, {'actor': 'Sylvie Testud', 'role': 'Christine See more'}, {'actor': 'Léa Seydoux', 'role': 'Maria See more'}, {'actor': 'Bruno Todeschini', 'role': 'Kuno See more'}, {'actor': 'Elina Löwensohn', 'role': 'Cécile See more'}]","[{'name': 'Jessica Hausner', 'role': 'Director'}, {'name': 'Jessica Hausner', 'role': 'Writer'}, {'name': 'Philippe Bober', 'role': 'Producer'}, {'name': 'Martin Gschlacht', 'role': 'Producer'}, {'name': 'Susanne Marian', 'role': 'Producer'}, {'name': 'Martin Gschlacht', 'role': 'Cinematographer'}, {'name': 'Karina Ressler', 'role': 'Editor'}, {'name': 'Katharina Wöppermann', 'role': 'Production Designer'}, {'name': 'Sylvie Testud', 'role': 'Christine See more'}, {'name': 'Léa Seydoux', 'role': 'Maria See more'}, {'name': 'Bruno Todeschini', 'role': 'Kuno See more'}, {'name': 'Elina Löwensohn', 'role': 'Cécile See more'}]",Drama,,2947270,2947270,Lourdes,2023,,"December 11, 2009 (Austria)",96,https://www.boxofficemojo.com/title/tt1405809/
Cinema Sabaya,,"[{'actor': 'Orit Fouks Rotem', 'role': 'Director'}, {'actor': 'Orit Fouks Rotem', 'role': 'Writer'}, {'actor': 'Maya Fischer', 'role': 'Producer'}, {'actor': 'Gal Greenspan', 'role': 'Producer'}, {'actor': 'Roi Kurland', 'role': 'Producer'}, {'actor': 'Itay Marom', 'role': 'Cinematographer'}, {'actor': 'Neta Dvorkis', 'role': 'Editor'}, {'actor': 'Liora Levi', 'role': 'Carmela See more'}, {'actor': 'Aseel Farhat', 'role': 'Nahed See more'}, {'actor': 'Orit Samuel', 'role': 'Eti See more'}, {'actor': 'Marlene Bajali', 'role': 'Awatef See more'}]","[{'name': 'Orit Fouks Rotem', 'role': 'Director'}, {'name': 'Orit Fouks Rotem', 'role': 'Writer'}, {'name': 'Maya Fischer', 'role': 'Producer'}, {'name': 'Gal Greenspan', 'role': 'Producer'}, {'name': 'Roi Kurland', 'role': 'Producer'}, {'name': 'Itay Marom', 'role': 'Cinematographer'}, {'name': 'Neta Dvorkis', 'role': 'Editor'}, {'name': 'Liora Levi', 'role': 'Carmela See more'}, {'name': 'Aseel Farhat', 'role': 'Nahed See more'}, {'name': 'Orit Samuel', 'role': 'Eti See more'}, {'name': 'Marlene Bajali', 'role': 'Awatef See more'}]",Drama,69609,,69609,Cinema Sabaya,2023,3294,"February 10, 2023 (Domestic)",91,https://www.boxofficemojo.com/title/tt6443330/
The Dead Don't Hurt,,"[{'actor': 'Viggo Mortensen', 'role': 'Director'}, {'actor': 'Viggo Mortensen', 'role': 'Writer'}, {'actor': 'Viggo Mortensen', 'role': 'Producer'}, {'actor': 'Regina Solórzano', 'role': 'Producer'}, {'actor': 'Jeremy Thomas', 'role': 'Producer'}, {'actor': 'Viggo Mortensen', 'role': 'Composer'}, {'actor': 'Marcel Zyskind', 'role': 'Cinematographer'}, {'actor': 'Peder Pedersen', 'role': 'Editor'}, {'actor': 'Jason Clarke', 'role': 'Production Designer'}, {'actor': 'Carol Spier', 'role': 'Production Designer'}, {'actor': 'Vicky Krieps', 'role': 'Vivienne Le Coudy / The Knight See more'}, {'actor': 'Viggo Mortensen', 'role': 'Holger Olsen / The Knight See more'}, {'actor': 'Solly McLeod', 'role': 'Weston Jeffries See more'}, {'actor': 'Garret Dillahunt', 'role': 'Alfred Jeffries See more'}]","[{'name': 'Viggo Mortensen', 'role': 'Director'}, {'name': 'Viggo Mortensen', 'role': 'Writer'}, {'name': 'Viggo Mortensen', 'role': 'Producer'}, {'name': 'Regina Solórzano', 'role': 'Producer'}, {'name': 'Jeremy Thomas', 'role': 'Producer'}, {'name': 'Viggo Mortensen', 'role': 'Composer'}, {'name': 'Marcel Zyskind', 'role': 'Cinematographer'}, {'name': 'Peder Pedersen', 'role': 'Editor'}, {'name': 'Jason Clarke', 'role': 'Production Designer'}, {'name': 'Carol Spier', 'role': 'Production Designer'}, {'name': 'Vicky Krieps', 'role': 'Vivienne Le Coudy / The Knight See more'}, {'name': 'Viggo Mortensen', 'role': 'Holger Olsen / The Knight See more'}, {'name': 'Solly McLeod', 'role': 'Weston Jeffries See more'}, {'name': 'Garret Dillahunt', 'role': 'Alfred Jeffries See more'}]",Drama Western,752964,1208143,1961107,The Civil Dead,2023,384762,"May 10, 2024 (Spain)",129,https://www.boxofficemojo.com/title/tt22773644/
